map_LCIn1-0_LTW0-9_NR-H4,0:00:04.632013
map_LCIn1-0_LTW0-9_NR-W4,0:00:06.643610
map_LCIn1-0_LTW0-9_NR-H5,0:00:04.030916
map_LCIn1-0_LTW0-9_NR-W5,0:00:04.867676
map_LCIn1-0_LTW0-9_NR-H6,0:00:03.276894
map_LCIn1-0_LTW0-9_NR-W6,0:00:04.300002
map_LCIn1-0_LTW0-9_NR-H7,0:00:03.239253
map_LCIn1-0_LTW0-9_NR-W7,0:00:11.525009
map_LCIn1-0_LTW0-9_NR-H8,0:00:04.052747
map_LCIn1-0_LTW0-9_NR-W8,0:00:10.496828
map_LCIn1-0_LTW0-9_NR-H9,0:00:04.300198
map_LCIn1-0_LTW0-9_NR-W9,0:00:05.442043
map_LCIn1-0_LTW0-9_NR-H10,0:00:02.873670
map_LCIn1-0_LTW0-9_NR-W10,0:00:03.285122
map_LCIn1-0_LTW1-0_NR-1,0:00:04.552019
map_LCIn1-0_LTW1-0_NR-H1,0:00:11.384790
map_LCIn1-0_LTW1-0_NR-W1,0:00:23.056672
map_LCIn1-0_LTW1-0_NR-H2,0:00:06.378038
map_LCIn1-0_LTW1-0_NR-W2,0:00:12.339517
map_LCIn1-0_LTW1-0_NR-H3,0:00:05.068421
map_LCIn1-0_LTW1-0_NR-W3,0:00:19.673195
map_LCIn1-0_LTW1-0_NR-H4,0:00:04.408483
map_LCIn1-0_LTW1-0_NR-W4,0:00:06.199573
map_LCIn1-0_LTW1-0_NR-H5,0:00:03.857598
map_LCIn1-0_LTW1-0_NR-W5,0:00:06.289825
map_LCIn1-0_LTW1-0_NR-H6,0:00:19.939147
map_LCIn1-0_LTW1-0_NR-W6,0:00:07.920580
map_LCIn1-0_LTW1-0_NR-H7,0:00:05.048921
map_LCIn1-0_LTW1-0_NR-W7,0:01:10.226325
map_LCIn1-0_LTW1-0_NR-H8,0:00:04.529498
map_LCIn1-0_LTW1-0_NR-W8,0:00:29.222832
map_LCIn1-0_LTW1-0_NR-H9,0:00:05.196126
map_LCIn1-0_LTW1-0_NR-W9,0:00:07.742075
map_LCIn1-0_LTW1-0_NR-H10,0:00:04.415669
map_LCIn1-0_LTW1-0_NR-W10,0:00:10.295836
map_LCIn0-9_LTW0-0_NR-1,0:00:06.827981
map_LCIn0-9_LTW0-0_NR-H1,0:00:10.819680
map_LCIn0-9_LTW0-0_NR-W1,0:00:19.688105
map_LCIn0-9_LTW0-0_NR-H2,0:00:05.198656
map_LCIn0-9_LTW0-0_NR-W2,0:00:11.561847
map_LCIn0-9_LTW0-0_NR-H3,0:00:05.591676
map_LCIn0-9_LTW0-0_NR-W3,0:00:06.284277
map_LCIn0-9_LTW0-0_NR-H4,0:00:04.103976
map_LCIn0-9_LTW0-0_NR-W4,0:00:05.879763
map_LCIn0-9_LTW0-0_NR-H5,0:00:08.563274
map_LCIn0-9_LTW0-0_NR-W5,0:00:04.658962
map_LCIn0-9_LTW0-0_NR-H6,0:00:02.548490
map_LCIn0-9_LTW0-0_NR-W6,0:00:03.964076
map_LCIn0-9_LTW0-0_NR-H7,0:00:03.211279
map_LCIn0-9_LTW0-0_NR-W7,0:00:03.919892
map_LCIn0-9_LTW0-0_NR-H8,0:00:04.415344
map_LCIn0-9_LTW0-0_NR-W8,0:00:03.231270
map_LCIn0-9_LTW0-0_NR-H9,0:00:02.506689
